NACA 0012		NACA 2412		NACA 4412					
x	y								
1	0.00126	1	0.00126	1	0.00126				
0.99505	0.00195	0.99512	0.00227	0.99521	0.00257				
0.98666	0.00312	0.98686	0.00396	0.98708	0.00476				
0.97707	0.00443	0.97744	0.00586	0.97781	0.00723				
0.96637	0.00588	0.96694	0.00795	0.96749	0.00995				
0.95476	0.00744	0.95557	0.01018	0.9563	0.01284				
0.94248	0.00905	0.94355	0.0125	0.9445	0.01585				
0.92976	0.01071	0.93112	0.01486	0.93229	0.0189				
0.91678	0.01237	0.91842	0.01723	0.91982	0.02196				
0.90364	0.01402	0.90556	0.01958	0.9072	0.02499				
0.8904	0.01567	0.89261	0.02191	0.89449	0.02799				
0.87711	0.01729	0.8796	0.02421	0.88172	0.03094				
0.86379	0.01889	0.86656	0.02647	0.86892	0.03385				
0.85045	0.02047	0.8535	0.02869	0.85608	0.0367				
0.83709	0.02203	0.84042	0.03087	0.84323	0.03949				
0.82373	0.02357	0.82732	0.03301	0.83036	0.04223				
0.81036	0.02508	0.81422	0.03511	0.81747	0.04491				
0.79698	0.02657	0.8011	0.03717	0.80457	0.04754				
0.7836	0.02803	0.78798	0.03919	0.79166	0.05011				
0.77022	0.02947	0.77486	0.04117	0.77874	0.05262				
0.75683	0.03089	0.76173	0.0431	0.76582	0.05507				
0.74345	0.03228	0.74859	0.045	0.75288	0.05747				
0.73006	0.03365	0.73545	0.04685	0.73993	0.05981				
0.71668	0.035	0.72231	0.04866	0.72698	0.06208				
0.70329	0.03632	0.70916	0.05043	0.71402	0.06431				
0.68991	0.03761	0.69602	0.05216	0.70105	0.06647				
0.67653	0.03888	0.68287	0.05384	0.68808	0.06857				
0.66315	0.04013	0.66972	0.05548	0.67511	0.07061				
0.64977	0.04135	0.65657	0.05707	0.66213	0.07259				
0.6364	0.04254	0.64342	0.05862	0.64915	0.0745				
0.62303	0.0437	0.63027	0.06013	0.63617	0.07636				
0.60967	0.04483	0.61713	0.06158	0.62318	0.07815				
0.59632	0.04594	0.60399	0.06299	0.6102	0.07988				
0.58297	0.04701	0.59085	0.06435	0.59722	0.08154				
0.56963	0.04805	0.57772	0.06567	0.58423	0.08314				
0.5563	0.04906	0.56459	0.06693	0.57125	0.08467				
0.54298	0.05003	0.55147	0.06814	0.55828	0.08613				
